name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Marseille - Beaurepaire,10014,5,25,"[48.871624306962985, 2.3639265082738348]",2023-05-02T13:06:03+00:00,30,23,55,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Arago - Glacière,13002,2,6,"[48.83486054775774, 2.3445770524322067]",2023-05-02T13:03:07+00:00,8,19,27,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Parmentier - Abel Rabaud,11035,3,1,"[48.86921273836114, 2.371688821240712]",2023-05-02T13:01:48+00:00,4,47,52,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Mairie d'Ivry-sur-Seine,42010,3,18,"[48.81057120969284, 2.3842826485633855]",2023-05-02T13:05:58+00:00,21,31,53,OUI,OUI,Ivry-sur-Seine,OUI,2023-05-02T13:33:00.428Z
Parc Georges Brassens - Brancion,15046,0,0,"[48.83227829269761, 2.3022570088505745]",2023-05-02T11:39:58+00:00,0,29,29,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Reims - Raymond Pitet,17028,3,4,"[48.8888, 2.296319]",2023-05-02T12:58:58+00:00,7,30,37,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Saint-Vincent - Verdun,21301,0,12,"[48.819211549234495, 2.254007756710053]",2023-05-02T13:04:16+00:00,12,22,34,OUI,OUI,Issy-les-Moulineaux,OUI,2023-05-02T13:33:00.428Z
Aristide Briand - Gare de Bagneux,42302,11,1,"[48.79387269664978, 2.321148812770844]",2023-05-02T13:04:05+00:00,12,9,22,OUI,OUI,Cachan,OUI,2023-05-02T13:33:00.428Z
Victoria - Place du Chatelet,1002,8,11,"[48.857992591527, 2.3469167947769]",2023-05-02T13:06:10+00:00,19,3,22,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Mathurins - Auber,9032,14,13,"[48.872988840744, 2.3294984212276]",2023-05-02T13:07:07+00:00,27,9,36,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Hautpoul - Jean Jaurès,19016,0,0,"[48.886393679436, 2.3865414544355]",2023-05-02T13:04:09+00:00,0,32,32,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Wilson - Métallurgie,32003,5,12,"[48.909423010092326, 2.3584435880184174]",2023-05-02T13:04:53+00:00,17,8,28,OUI,OUI,Saint-Denis,OUI,2023-05-02T13:33:00.428Z
Madame de Sanzillon - Mozart,21104,1,1,"[48.90379820774301, 2.3187401890754704]",2023-05-02T13:03:03+00:00,2,18,22,OUI,OUI,Clichy,OUI,2023-05-02T13:33:00.428Z
Mairie du 7ème,7102,12,15,"[48.8577967, 2.3192664]",2023-05-02T13:04:51+00:00,27,0,27,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
